Timestamp,Pressure,Gas,T1_R,T1_T,T1_R_std,T1_T_std,T2_R,T2_T,T2_R_std,T2_T_std,Temp_Diff,dT_std,
11:13:19,0.66,CO2,109.412,23.713,0.002,0.006,109.136,23.018,0.003,0.007,0.695,0.005,
11:13:31,0.66,CO2,109.405,23.697,0.002,0.006,109.128,22.998,0.005,0.012,0.699,0.007,
11:13:44,0.66,CO2,109.395,23.675,0.003,0.006,109.116,22.969,0.002,0.006,0.706,0.004,
11:13:57,0.66,CO2,109.387,23.653,0.002,0.006,109.107,22.946,0.003,0.008,0.707,0.006,
11:14:10,0.66,CO2,109.379,23.631,0.002,0.005,109.1,22.926,0.002,0.006,0.705,0.007,
11:14:23,0.66,CO2,109.37,23.608,0.003,0.007,109.091,22.902,0.003,0.007,0.706,0.003,
11:14:35,0.66,CO2,109.365,23.594,0.002,0.003,109.083,22.881,0.003,0.006,0.713,0.007,
11:14:48,0.66,CO2,109.355,23.57,0.003,0.007,109.073,22.857,0.004,0.01,0.713,0.011,
11:15:41,0.58,CO2,109.31,23.456,0.002,0.006,109.023,22.731,0.003,0.007,0.725,0.012,
11:15:55,0.58,CO2,109.304,23.442,0.002,0.005,109.033,22.756,0.003,0.009,0.686,0.009,
11:16:08,0.58,CO2,109.299,23.428,0.002,0.005,109.035,22.761,0.001,0.003,0.667,0.006,
11:16:20,0.58,CO2,109.293,23.413,0.002,0.005,109.034,22.758,0.001,0.003,0.655,0.004,
11:16:33,0.58,CO2,109.285,23.397,0.003,0.006,109.03,22.75,0.002,0.006,0.647,0.005,
11:16:46,0.58,CO2,109.28,23.382,0.002,0.005,109.025,22.737,0.002,0.004,0.645,0.003,
11:16:59,0.58,CO2,109.273,23.363,0.002,0.005,109.021,22.726,0.002,0.005,0.637,0.005,
11:17:34,0.55,CO2,109.252,23.311,0.003,0.007,108.998,22.668,0.004,0.011,0.643,0.006,
11:17:47,0.55,CO2,109.247,23.297,0.001,0.003,108.999,22.671,0.002,0.004,0.626,0.005,
11:18:00,0.55,CO2,109.243,23.287,0.001,0.002,109.004,22.682,0.004,0.011,0.605,0.012,
11:18:12,0.55,CO2,109.239,23.277,0.002,0.004,109.002,22.678,0.001,0.003,0.599,0.006,
11:18:25,0.55,CO2,109.235,23.268,0.001,0.004,109,22.673,0.001,0.003,0.595,0.004,
11:18:38,0.55,CO2,109.232,23.259,0.002,0.004,108.998,22.67,0.002,0.005,0.589,0.008,
11:18:52,0.55,CO2,109.227,23.248,0.003,0.007,108.995,22.663,0.005,0.012,0.585,0.014,
11:19:31,0.5,CO2,109.209,23.203,0.006,0.014,108.975,22.611,0.009,0.022,0.592,0.012,
11:19:43,0.5,CO2,109.204,23.19,0.002,0.005,108.97,22.598,0.003,0.007,0.592,0.009,
11:19:56,0.5,CO2,109.204,23.188,0.002,0.004,108.978,22.619,0.002,0.004,0.569,0.007,
11:20:09,0.5,CO2,109.202,23.185,0.002,0.006,108.986,22.639,0.004,0.009,0.546,0.007,
11:20:22,0.5,CO2,109.201,23.181,0.001,0.003,108.989,22.646,0.001,0.003,0.535,0.005,
11:20:34,0.5,CO2,109.199,23.178,0.001,0.003,108.992,22.653,0.003,0.009,0.525,0.009,
11:20:47,0.5,CO2,109.199,23.177,0.001,0.003,108.991,22.65,0.002,0.005,0.527,0.004,
11:21:00,0.5,CO2,109.198,23.175,0.001,0.003,108.992,22.651,0.001,0.002,0.524,0.004,
11:21:31,0.45,CO2,109.192,23.158,0.004,0.01,108.985,22.636,0.007,0.018,0.522,0.015,
11:21:44,0.45,CO2,109.189,23.151,0.001,0.004,108.984,22.632,0.003,0.007,0.519,0.006,
11:21:57,0.45,CO2,109.19,23.153,0.003,0.008,108.991,22.651,0.002,0.006,0.502,0.009,
11:22:10,0.45,CO2,109.191,23.156,0.001,0.003,108.996,22.664,0.001,0.003,0.492,0.005,
11:22:23,0.45,CO2,109.189,23.152,0.002,0.004,108.998,22.668,0.002,0.005,0.484,0.007,
11:22:36,0.45,CO2,109.191,23.156,0.002,0.004,109.002,22.679,0.003,0.006,0.477,0.008,
11:22:49,0.45,CO2,109.191,23.157,0.001,0.003,109.002,22.678,0.002,0.004,0.479,0.004,
11:24:11,0.41,CO2,109.181,23.13,0.005,0.012,108.988,22.643,0.008,0.02,0.487,0.013,
11:24:23,0.41,CO2,109.178,23.124,0.003,0.006,108.985,22.636,0.002,0.006,0.488,0.008,
11:24:36,0.41,CO2,109.178,23.123,0.001,0.003,108.992,22.654,0.002,0.006,0.469,0.008,
11:24:49,0.41,CO2,109.177,23.121,0.002,0.005,108.995,22.661,0.002,0.005,0.46,0.007,
11:25:01,0.41,CO2,109.176,23.119,0.002,0.004,108.998,22.669,0.003,0.007,0.45,0.01,
11:25:14,0.41,CO2,109.175,23.117,0.001,0.003,108.998,22.667,0.002,0.004,0.45,0.005,
11:25:27,0.41,CO2,109.174,23.114,0.002,0.004,108.999,22.67,0.001,0.002,0.444,0.005,
11:26:21,0.38,CO2,109.165,23.09,0.001,0.003,108.988,22.643,0.002,0.005,0.447,0.005,
11:26:35,0.38,CO2,109.164,23.088,0.002,0.005,108.991,22.651,0.002,0.004,0.437,0.008,
11:26:47,0.38,CO2,109.164,23.088,0.002,0.004,108.992,22.655,0.001,0.003,0.433,0.004,
11:27:00,0.38,CO2,109.163,23.085,0.001,0.004,108.994,22.657,0.003,0.007,0.428,0.009,
11:27:13,0.38,CO2,109.161,23.081,0.001,0.003,108.993,22.657,0.002,0.004,0.424,0.005,
11:27:26,0.38,CO2,109.16,23.079,0.001,0.003,108.995,22.66,0.003,0.007,0.419,0.009,
11:27:38,0.38,CO2,109.16,23.079,0.001,0.004,108.993,22.657,0.001,0.003,0.422,0.005,
11:28:05,0.36,CO2,109.154,23.063,0.003,0.008,108.99,22.648,0.003,0.008,0.415,0.005,
11:28:18,0.36,CO2,109.151,23.056,0.002,0.006,108.981,22.626,0.003,0.008,0.43,0.011,
11:28:30,0.36,CO2,109.15,23.054,0.001,0.002,108.986,22.639,0.002,0.006,0.415,0.007,
11:28:43,0.36,CO2,109.15,23.052,0.002,0.004,108.99,22.649,0.001,0.004,0.403,0.005,
11:28:56,0.36,CO2,109.15,23.054,0.001,0.002,108.993,22.655,0.001,0.004,0.399,0.003,
11:29:09,0.36,CO2,109.15,23.052,0.002,0.005,108.995,22.66,0.002,0.005,0.392,0.006,
11:29:22,0.36,CO2,109.15,23.051,0.002,0.004,108.996,22.664,0.003,0.008,0.387,0.008,
11:29:34,0.36,CO2,109.147,23.047,0.002,0.005,108.995,22.659,0.002,0.003,0.388,0.006,
11:30:39,0.32,CO2,109.137,23.02,0.003,0.009,108.985,22.637,0.013,0.032,0.383,,0.028
11:30:52,0.32,CO2,109.138,23.024,0.007,0.016,108.988,22.645,0.008,0.021,0.379,0.015,
11:31:06,0.32,CO2,109.136,23.019,0.003,0.007,108.988,22.644,0.004,0.01,0.375,0.009,
11:31:23,0.32,CO2,109.139,23.026,0.007,0.017,108.999,22.671,0.017,0.043,0.355,,0.043
11:31:36,0.32,CO2,109.135,23.016,0.003,0.008,108.993,22.656,0.002,0.005,0.36,0.004,
11:31:49,0.32,CO2,109.134,23.011,0.002,0.004,108.992,22.654,0.001,0.003,0.357,0.006,
11:32:41,0.29,CO2,109.125,22.99,0.001,0.003,108.981,22.625,0.003,0.007,0.365,0.007,
11:32:54,0.29,CO2,109.125,22.99,0.001,0.003,108.985,22.633,0.002,0.005,0.357,0.004,
11:33:07,0.29,CO2,109.126,22.992,0.001,0.003,108.988,22.643,0.002,0.004,0.349,0.003,
11:33:21,0.29,CO2,109.127,22.995,0.001,0.003,108.995,22.659,0.004,0.01,0.336,0.008,
11:33:34,0.29,CO2,109.128,22.996,0.001,0.003,108.996,22.665,0.002,0.004,0.331,0.005,
11:33:47,0.29,CO2,109.128,22.998,0.001,0.003,108.999,22.672,0.001,0.004,0.326,0.005,
11:34:00,0.29,CO2,109.129,22.999,0.001,0.003,109.001,22.677,0.001,0.004,0.322,0.006,
11:34:43,0.26,CO2,109.125,22.989,0.001,0.002,108.999,22.671,0.003,0.008,0.318,0.009,
11:34:56,0.26,CO2,109.127,22.994,0.002,0.004,109.001,22.676,0.002,0.004,0.318,0.005,
11:35:09,0.26,CO2,109.129,22.999,0.001,0.003,109.008,22.695,0.002,0.005,0.304,0.005,
11:35:22,0.26,CO2,109.131,23.004,0.003,0.006,109.014,22.708,0.002,0.004,0.296,0.008,
11:35:35,0.26,CO2,109.133,23.01,0.002,0.004,109.018,22.721,0.003,0.007,0.289,0.006,
11:35:48,0.26,CO2,109.134,23.013,0.001,0.002,109.022,22.731,0.002,0.006,0.282,0.006,
11:36:00,0.26,CO2,109.136,23.018,0.001,0.003,109.025,22.736,0.002,0.005,0.282,0.005,
11:36:44,0.21,CO2,109.135,23.017,0.004,0.009,109.032,22.754,0.006,0.015,0.263,0.013,
11:36:56,0.21,CO2,109.134,23.012,0.001,0.002,109.02,22.724,0.001,0.003,0.288,0.003,
11:37:09,0.21,CO2,109.139,23.024,0.001,0.004,109.029,22.747,0.005,0.013,0.277,0.013,
11:37:22,0.21,CO2,109.14,23.027,0.001,0.003,109.036,22.765,0.003,0.006,0.262,0.006,
11:37:35,0.21,CO2,109.145,23.039,0.002,0.005,109.045,22.786,0.003,0.008,0.253,0.007,
11:37:48,0.21,CO2,109.147,23.046,0.002,0.006,109.049,22.797,0.005,0.013,0.249,0.009,
