Timestamp,Pressure,Gas,T1_R,T1_T,T1_R_std,T1_T_std,T2_R,T2_T,T2_R_std,T2_T_std,Temp_Diff,dT_std
12:08:16,0.5,CO2,109.423,23.743,0.007,0.017,109.384,23.644,0.001,0.002,0.099,0.018
12:08:29,0.5,CO2,109.432,23.766,0.002,0.005,109.386,23.649,0.005,0.011,0.117,0.012
12:08:42,0.5,CO2,109.436,23.777,0.003,0.007,109.388,23.656,0.003,0.008,0.121,0.004
12:08:55,0.5,CO2,109.439,23.783,0.002,0.006,109.391,23.663,0.005,0.013,0.12,0.013
12:09:08,0.5,CO2,109.441,23.789,0.002,0.004,109.395,23.672,0.002,0.006,0.117,0.005
12:09:22,0.5,CO2,109.445,23.799,0.001,0.004,109.397,23.680,0.003,0.007,0.119,0.007
12:09:35,0.5,CO2,109.448,23.807,0.002,0.004,109.402,23.690,0.002,0.005,0.117,0.006
12:10:26,0.08,CO2,109.471,23.864,0.001,0.003,109.418,23.731,0.003,0.006,0.133,0.005
12:10:39,0.08,CO2,109.473,23.869,0.002,0.005,109.429,23.757,0.002,0.005,0.112,0.007
12:10:52,0.08,CO2,109.475,23.875,0.002,0.005,109.433,23.768,0.002,0.005,0.107,0.007
12:11:05,0.08,CO2,109.477,23.879,0.002,0.004,109.435,23.772,0.002,0.005,0.107,0.007
12:11:18,0.08,CO2,109.478,23.884,0.002,0.004,109.436,23.775,0.002,0.005,0.109,0.006
12:11:31,0.08,CO2,109.481,23.891,0.001,0.003,109.437,23.780,0.003,0.006,0.111,0.007
12:11:44,0.08,CO2,109.482,23.894,0.003,0.007,109.439,23.782,0.002,0.004,0.112,0.008
12:12:54,0.12,CO2,109.504,23.947,0.005,0.013,109.454,23.820,0.007,0.020,0.127,0.012
12:13:14,0.12,CO2,109.510,23.961,0.001,0.004,109.465,23.849,0.002,0.005,0.112,0.006
12:13:33,0.12,CO2,109.511,23.965,0.001,0.004,109.465,23.849,0.001,0.004,0.116,0.005
12:13:53,0.12,CO2,109.514,23.972,0.002,0.005,109.465,23.852,0.002,0.005,0.12,0.007
12:14:13,0.12,CO2,109.517,23.980,33.021,7.230,109.465,23.851,33.005,7.191,0.129,
12:15:08,0.17,CO2,109.528,24.008,0.006,0.014,109.469,23.859,0.003,0.008,0.149,0.012
12:15:27,0.17,CO2,109.536,24.030,0.002,0.005,109.485,23.899,0.002,0.004,0.131,0.005
12:15:48,0.17,CO2,109.536,24.030,0.001,0.003,109.481,23.889,0.006,0.015,0.141,0.016
12:16:07,0.17,CO2,109.537,24.030,0.001,0.003,109.473,23.870,0.001,0.004,0.16,0.004
12:16:27,0.17,CO2,109.536,24.032,0.002,0.005,109.472,23.867,0.004,0.011,0.165,0.012
12:16:59,0.29,CO2,109.552,24.067,0.012,0.030,109.475,23.872,0.009,0.023,0.195,0.020
12:17:20,0.29,CO2,109.564,24.100,0.002,0.004,109.498,23.933,0.006,0.014,0.167,0.013
12:17:41,0.29,CO2,109.561,24.092,0.002,0.005,109.471,23.863,0.004,0.010,0.229,0.011
12:18:02,0.29,CO2,109.558,24.085,0.001,0.003,109.455,23.823,0.003,0.006,0.262,0.007
12:18:22,0.29,CO2,109.557,24.082,0.002,0.004,109.446,23.801,0.002,0.005,0.281,0.007
12:19:01,0.35,CO2,109.560,24.090,33.034,7.263,109.439,23.783,32.997,7.171,0.307,
12:19:22,0.35,CO2,100.437,22.097,8.740,1.921,100.328,21.823,8.728,1.890,0.274,0.032
12:19:42,0.35,CO2,100.433,22.092,8.742,1.921,100.310,21.780,8.732,1.896,0.312,0.027
12:20:01,0.35,CO2,109.561,24.091,0.002,0.005,109.417,23.730,0.004,0.011,0.361,0.010
12:20:23,0.35,CO2,109.558,24.083,0.001,0.004,109.407,23.705,0.003,0.007,0.378,0.009
12:21:04,0.44,CO2,109.562,24.096,33.034,7.265,109.412,23.717,32.989,7.151,0.379,
12:21:24,0.44,CO2,109.558,24.083,0.004,0.010,109.396,23.674,0.010,0.025,0.409,0.017
12:21:44,0.44,CO2,109.550,24.064,33.031,7.256,109.377,23.629,32.978,7.124,0.435,
12:22:03,0.44,CO2,109.541,24.042,0.004,0.009,109.361,23.586,0.007,0.018,0.456,0.010
12:22:23,0.44,CO2,109.534,24.022,0.004,0.009,109.346,23.549,0.004,0.011,0.473,0.005
12:22:59,0.5,CO2,109.523,23.996,0.002,0.005,109.331,23.510,0.007,0.017,0.486,0.015
12:23:18,0.5,CO2,109.515,23.977,0.005,0.014,109.317,23.477,0.010,0.027,0.5,0.016
12:23:38,0.5,CO2,109.503,23.945,33.016,7.220,109.295,23.420,32.954,7.061,0.525,
12:23:58,0.5,CO2,109.491,23.914,0.007,0.016,109.277,23.376,0.006,0.017,0.538,0.005
12:24:18,0.5,CO2,109.477,23.882,0.005,0.015,109.265,23.343,0.009,0.023,0.539,0.014
