Timestamp,Pressure,Gas,T1_R,T1_T,T1_R_std,T1_T_std,T2_R,T2_T,T2_R_std,T2_T_std,Temp_Diff,dT_std
9:59:31,0.68,N2,109.544,24.048,0.001,0.003,109.483,23.895,0.002,0.004,0.153,0.005
9:59:52,0.68,N2,109.543,24.046,0.002,0.004,109.482,23.89,0.002,0.004,0.156,0.005
10:00:12,0.68,N2,109.54,24.039,0.002,0.005,109.478,23.882,0.001,0.004,0.157,0.006
10:00:33,0.68,N2,109.538,24.034,0.003,0.007,109.475,23.875,0.002,0.005,0.159,0.006
10:00:54,0.68,N2,109.535,24.025,0.002,0.004,109.473,23.867,0.003,0.007,0.158,0.01
,,,,,,,,,,,,
10:02:33,0.73,N2,109.528,24.009,0.002,0.005,109.461,23.839,0.002,0.005,0.17,0.004
10:03:13,0.73,N2,109.522,23.993,0.002,0.004,109.453,23.820,0.001,0.004,0.173,0.005
10:03:32,0.73,N2,109.520,23.988,0.003,0.007,109.451,23.812,0.004,0.011,0.176,0.006
10:03:52,0.73,N2,109.515,23.976,0.001,0.003,109.448,23.807,0.005,0.013,0.169,0.013
10:04:48,0.8,N2,109.519,23.985,0.002,0.005,109.460,23.837,0.004,0.009,0.148,0.009
10:05:09,0.8,N2,109.512,23.969,0.001,0.003,109.442,23.791,0.002,0.006,0.178,0.005
10:05:22,0.8,N2,109.508,23.957,0.001,0.003,109.434,23.771,0.002,0.004,0.186,0.003
10:05:41,0.8,N2,109.504,23.948,0.001,0.004,109.431,23.763,0.002,0.004,0.185,0.004
10:06:01,0.8,N2,109.499,23.935,0.002,0.005,109.424,23.745,0.002,0.006,0.19,0.007
10:08:50,0.86,N2,100.351,21.882,8.735,1.905,100.286,21.716,8.728,1.891,0.166,0.018
10:09:10,0.86,N2,100.344,21.866,8.732,1.897,100.274,21.687,8.725,1.882,0.179,0.019
10:09:30,0.86,N2,109.459,23.833,0.003,0.008,109.383,23.639,0.004,0.008,0.194,0.010
10:09:49,0.86,N2,109.451,23.812,0.002,0.005,109.373,23.617,0.003,0.008,0.195,0.004
10:10:08,0.86,N2,109.444,23.796,0.004,0.009,109.365,23.595,0.006,0.013,0.201,0.010
10:13:52,0.86,N2,109.375,23.620,0.002,0.005,109.298,23.428,0.004,0.009,0.192,0.007
10:14:14,0.86,N2,109.371,23.611,0.002,0.005,109.291,23.408,0.003,0.007,0.203,0.004
10:14:38,0.86,N2,109.359,23.582,32.973,7.110,109.275,23.369,32.948,7.046,0.213,
10:14:58,0.86,N2,109.351,23.562,32.971,7.104,109.267,23.348,32.945,7.040,0.214,
10:15:18,0.86,N2,109.345,23.545,25.873,25.842,109.260,23.331,25.913,6.969,0.214,
