Timestamp,Pressure,Gas,T1_R,T1_T,T1_R_std,T1_T_std,T2_R,T2_T,T2_R_std,T2_T_std,Temp_Diff,dT_std
12:25:57,0.66,CO2,109.368,23.606,0.048,0.121,109.184,23.136,0.027,0.069,0.47,0.067
12:26:18,0.66,CO2,109.491,23.914,33.013,7.210,109.368,23.604,32.976,7.118,0.31,
12:26:37,0.66,CO2,109.466,23.852,0.010,0.025,109.243,23.287,0.029,0.074,0.565,0.050
12:26:56,0.66,CO2,109.445,23.798,0.009,0.022,109.181,23.131,0.017,0.042,0.667,0.021
12:27:17,0.66,CO2,109.427,23.753,32.994,7.162,109.149,23.050,32.910,6.950,0.703,
12:27:36,0.66,CO2,109.408,23.705,0.008,0.020,109.123,22.984,0.009,0.023,0.721,0.006
12:27:56,0.66,CO2,109.393,23.666,0.006,0.016,109.105,22.938,0.007,0.016,0.728,0.005
12:28:15,0.66,CO2,109.377,23.628,0.006,0.017,109.091,22.904,0.006,0.016,0.724,0.005
12:28:36,0.66,CO2,109.364,23.592,32.975,7.113,109.078,22.871,32.888,6.896,0.721,
12:28:55,0.66,CO2,109.348,23.553,0.007,0.018,109.062,22.829,0.008,0.018,0.724,0.005
12:29:14,0.66,CO2,109.335,23.520,0.006,0.015,109.048,22.795,0.007,0.017,0.725,0.005
12:29:34,0.66,CO2,109.323,23.488,0.007,0.018,109.035,22.763,0.005,0.014,0.725,0.012
12:29:53,0.66,CO2,109.308,23.452,0.007,0.016,109.024,22.733,0.007,0.016,0.719,0.009
12:30:13,0.66,CO2,109.294,23.416,32.953,7.060,109.011,22.701,32.868,6.845,0.715,
12:30:34,0.66,CO2,109.282,23.388,32.950,7.052,109.000,22.673,32.865,6.836,0.715,
12:30:53,0.66,CO2,109.273,23.361,0.004,0.008,108.992,22.652,0.003,0.008,0.709,0.002
